PayTabs,paytabs,بوابة دفع متكاملة للمتاجر الإلكترونية - دفع محلي وعالمي بأسعار تنافسية,2015,الرياض,200-500,Series B - $50M,https://paytabs.com,https://placehold.co/80x80?text=PayTabs,,Fintech,بوابة دفع متعددة القنوات,تحويل العملات,حماية من الاحتيال,تالفواتير المتكررة,Mada,STC Pay,Salla,Zid,SOC2,ISO27001,Saudi-owned
Zid,zid,منصة تجارة إلكترونية سحابية - إنشاء متجر إلكتروني بسهولة مع أدوات متقدمة,2018,جدة,100-200,Series A - $20M,https://zid.sa,https://placehold.co/80x80?text=Zid,,E-commerce,إنشاء متجر سحابي,إدارة المنتجات,التكامل مع الموردين,تحليلات المتجر,Mada,STC Pay,Salla,,Saudi-owned
Bayt,bayt,منصة توظيف رائدة في الشرق الأوسط - ربط بين الباحثين عن العمل وشركات التوظيف,2000,الرياض,1000+,الربحية الذاتية,https://bayt.com,https://placehold.co/80x80?text=Bayt,,HR Tech,محرك بحث الوظائف,السيرة الذاتية الذكية,مقابلات via الإنترنت,تحليل السوق,Mada,STC Pay,Aramco,ISO27001,Saudi-owned
Sukoon,sukoon,منصة موارد بشرية متكاملة للمنشآت السعودية - إدارة الموظفين والرواتب والامتثال,2019,الرياض,50-100,Series A - $8M,https://sukoon.sa,https://placehold.co/80x80?text=Sukoon,,HR Tech,إدارة الموظفين,معالجة الرواتب,الإجازات,الامتثالlabor,Mada,STC Pay,Zid,PDPL Compliant,Saudi-owned
Bokraft,bokraft,منصة تأجير السيارات - حجز مباشر وإدارة الأسطول للشركات,2020,جدة,20-50,Seed - $2M,https://bokraft.sa,https://placehold.co/80x80?text=Bokraft,,Misc SaaS,حجز السيارات,إدارة الأسطول,فوترة إلكترونية,تأمين متكامل,Mada,STC Pay,,Saudi-owned
Curate,curate,منصة قائمة الطعام - تصميم وتوزيع القوائم للمطاعم مع تحليلات,2021,الرياض,10-30,Pre-seed - $1M,https://curate.sa,https://placehold.co/80x80?text=Curate,,Restaurant Tech,تصميم القوائم,نقل مباشر,تحليل الأداء,إدارة العروض,Mada,STC Pay,Foodics,,Saudi-owned
SallaPay,sallapay,محفظة إلكترونية وتحصيل المدفوعات - منصات مالية للمتاجر الإلكترونية,2020,جدة,100-200,Series A - $15M,https://sallapay.sa,https://placehold.co/80x80?text=SallaPay,,Fintech,محفظة إلكترونية,تحصيل المدفوعات,التحويل الفوري,فواتير QR,Mada,STC Pay,Salla,Zid,SOC2,Saudi-owned
Omnana,omnana,منصة توصيل طلبات سريعة للمتاجر الإلكترونية - نفس اليوم وبرنامج التحكم,2021,الرياض,100-200,Series A - $12M,https://omnana.sa,https://placehold.co/80x80?text=Omnana,,Logistics,توصيل نفس اليوم,تتبع فوري,خدمات التخليص,تطبيق التاجر,Mada,STC Pay,Salla,,PDPL Compliant,Saudi-owned
SallaTickets,sallatickets,منصة بيع التذاكر - حفلات، أحداث، ومرافق رياضية,2020,جدة,30-60,Seed - $4M,https://sallatickets.sa,https://placehold.co/80x80?text=SallaTickets,,Marketing Tech,بيع التذاكر,إدارة الفعاليات,الدفع الإلكتروني,تحليل المبيعات,Mada,STC Pay,Salla,,Saudi-owned
SallaMenu,sallamenu,قوائم مطاعم رقمية - تصميم وتحديثات تلقائية مع طلبات مباشرة,2022,الرياض,20-50,Pre-seed - $2M,https://sallamenu.sa,https://placehold.co/80x80?text=SallaMenu,,Restaurant Tech,قوائم رقمية,طلب ذاتي,تحليل المبيعات,تحديثات تلقائية,Mada,STC Pay,Foodics,,Saudi-owned
Malaeb,malaeb,منصة رياضيةcommunity -(results, news, betting) لكن not gambling corporate,2015,جدة,100-200,Series B - $25M,https://malaeb.sa,https://placehold.co/80x80?text=Malaeb,,Marketing Tech,أخبار رياضية,إحصائيات,مجتمع مشجعين,إعلانات,%Mada%,STC Pay,,Saudi-owned
Tawseel,tawseel,خدمات لوجستية للمتاجر الإلكترونية - معالجة الطلبات والتوصيل للعملاء,2019,الرياض,100-200,Series A - $20M,https://tawseel.sa,https://placehold.co/80x80?text=Tawseel,,Logistics,معالجة الطلبات,توصيل最后一 ميل,تتبع الشحنات,تحسين المسارات,Mada,STC Pay,Zid,PDPL Compliant,Saudi-owned
Seha,seha,منصة خدمات صحية عن بُعد - حجز مواعيد، استشارات، ووصفات إلكترونية,2018,جدة,200-500,Series C - $60M,https://seha.sa,https://placehold.co/80x80?text=Seha,,HealthTech,حجز مواعيد,استشارات عن بُعد,وصفات إلكترونية,إدارة السجلات,SEHA,Mada,STC Pay,SAR,Saudi FDA,ISO27001,Saudi-owned
Nkhba,nkhba,منصة تعليمية للمدارس السعودية - محتوى مناهج + أدوات تقييم,2020,الرياض,50-100,Series A - $10M,https://nkhba.sa,https://placehold.co/80x80?text=Nkhba,,EdTech,محتو سعودي معتمد,اختبارات تقييم,لوحة تحكم للمعلمين,تحليل الأداء,Mada,Zid,SAR,Ministry of Education Approved,Saudi-owned
RiyadhAirways,riyadhairways,حجوزات وخدمات الطيران - منصة حجوزات متكاملة لشركات الطيران,2022,الرياض,50-100,Government Partnership,https://riyadhairways.sa,https://placehold.co/80x80?text=RiyadhAirways,,Travel Tech,حجز الرحلات,إدارة الحجوزات,خدمات إضافية,تكامل مع أنظمة الخطوط الجوية,Mada,STC Pay,Aramco,,Saudi-owned
