id,name,slug,description,founded_year,headquarters,employees,funding,website,logo_url,screenshot_url,categories,integrations,certifications,badges,pricing_plans
"gen-1773370341220-0","Digital  Services 20","digital-services-20","A leading E-commerce company in Saudi Arabia, providing innovative solutions for businesses.",2019,"Al Khobar, Saudi Arabia","201-500","Seed - $5M","https://digital-services-20.sa","https://logo.clearbit.com/digital-services-20.com",,"E-commerce","","","",""
"gen-1773370341222-1","Unified Cloud","unified-cloud","Unified Cloud offers cutting-edge agritech services to enterprises across the MENA region.",2021,"Taif, Saudi Arabia","51-200","Series A - $10M","https://unified-cloud.io","https://logo.clearbit.com/unified-cloud.com",,"AgriTech","","","",""
"gen-1773370341222-2","Unified Solutions","unified-solutions","Unified Solutions offers cutting-edge proptech services to enterprises across the MENA region.",2025,"Jeddah, Saudi Arabia","201-500","Bootstrap","https://unified-solutions.io","https://logo.clearbit.com/unified-solutions.com",,"PropTech","","","",""
"gen-1773370341222-3","Global AI","global-ai","A leading FoodTech company in Saudi Arabia, providing innovative solutions for businesses.",2016,"Riyadh, Saudi Arabia","201-500","Series B - $5M","https://global-ai.com","https://logo.clearbit.com/global-ai.com",,"FoodTech","","","",""
"gen-1773370341222-4","Al Cloud","al-cloud","Al Cloud offers cutting-edge edtech services to enterprises across the MENA region.",2019,"Jubail, Saudi Arabia","1-10","Bootstrap","https://al-cloud.com","https://logo.clearbit.com/al-cloud.com",,"EdTech","","","",""
"gen-1773370341222-5","Neo Tech 25","neo-tech-25","Empowering Saudi businesses with scalable healthtech platforms and tools.",2019,"Al Khobar, Saudi Arabia","11-50","Series B - $5M","https://neo-tech-25.sa","https://logo.clearbit.com/neo-tech-25.com",,"HealthTech","","","",""
"gen-1773370341222-6","Al Solutions","al-solutions","Empowering Saudi businesses with scalable saas platforms platforms and tools.",2019,"Dhahran, Saudi Arabia","1-10","Series A - $25M","https://al-solutions.io","https://logo.clearbit.com/al-solutions.com",,"SaaS Platforms","","","",""
"gen-1773370341222-7","Future Innovations","future-innovations","Future Innovations offers cutting-edge logistics tech services to enterprises across the MENA region.",2018,"Jubail, Saudi Arabia","1-10","Series B - $75M","https://future-innovations.sa","https://logo.clearbit.com/future-innovations.com",,"Logistics Tech","","","",""
"gen-1773370341222-8","Advanced Labs","advanced-labs","Empowering Saudi businesses with scalable healthtech platforms and tools.",2024,"Riyadh, Saudi Arabia","11-50","Series A - $75M","https://advanced-labs.sa","https://logo.clearbit.com/advanced-labs.com",,"HealthTech","","","",""
"gen-1773370341222-9","Future  Services 96","future-services-96","A leading SaaS Platforms company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Taif, Saudi Arabia","51-200","Bootstrap","https://future-services-96.sa","https://logo.clearbit.com/future-services-96.com",,"SaaS Platforms","","","",""
"gen-1773370341222-10","Global Innovations","global-innovations","Global Innovations offers cutting-edge proptech services to enterprises across the MENA region.",2016,"Al Khobar, Saudi Arabia","500+","Bootstrap","https://global-innovations.io","https://logo.clearbit.com/global-innovations.com",,"PropTech","","","",""
"gen-1773370341222-11","Unified Platform","unified-platform","Unified Platform offers cutting-edge devops services to enterprises across the MENA region.",2022,"Taif, Saudi Arabia","500+","Bootstrap","https://unified-platform.sa","https://logo.clearbit.com/unified-platform.com",,"DevOps","","","",""
"gen-1773370341222-12","Smart Cloud 53","smart-cloud-53","Smart Cloud 53 offers cutting-edge insurtech services to enterprises across the MENA region.",2017,"Taif, Saudi Arabia","1-10","Series B - $10M","https://smart-cloud-53.io","https://logo.clearbit.com/smart-cloud-53.com",,"InsurTech","","","",""
"gen-1773370341222-13","Arabian Digital 92","arabian-digital-92","A leading PropTech company in Saudi Arabia, providing innovative solutions for businesses.",2025,"Khobar, Saudi Arabia","1-10","Undisclosed","https://arabian-digital-92.sa","https://logo.clearbit.com/arabian-digital-92.com",,"PropTech","","","",""
